Date,Close
01-11-2014,NaN
02-11-2014,NaN
03-11-2014,555.22
04-11-2014,554.11
05-11-2014,545.92
06-11-2014,542.04
07-11-2014,541.01
08-11-2014,NaN
09-11-2014,NaN
10-11-2014,547.49
11-11-2014,550.29
12-11-2014,547.31
13-11-2014,545.38
14-11-2014,544.4
15-11-2014,NaN
16-11-2014,NaN
17-11-2014,536.51
18-11-2014,535.03
19-11-2014,536.99
20-11-2014,534.83
21-11-2014,537.5
22-11-2014,NaN
23-11-2014,NaN
24-11-2014,539.27
25-11-2014,541.08
26-11-2014,540.37
27-11-2014,NaN
28-11-2014,541.83
29-11-2014,NaN
30-11-2014,NaN
01-12-2014,533.8
02-12-2014,533.75
03-12-2014,531.32
04-12-2014,537.31
05-12-2014,525.26
06-12-2014,NaN
07-12-2014,NaN
08-12-2014,526.98
09-12-2014,533.37
10-12-2014,526.06
11-12-2014,528.34
12-12-2014,518.66
13-12-2014,NaN
14-12-2014,NaN
15-12-2014,513.8
16-12-2014,495.39
17-12-2014,504.89
18-12-2014,511.1
19-12-2014,516.35
20-12-2014,NaN
21-12-2014,NaN
22-12-2014,524.87
23-12-2014,530.59
24-12-2014,528.77
25-12-2014,NaN
26-12-2014,534.03
27-12-2014,NaN
28-12-2014,NaN
29-12-2014,530.33
30-12-2014,530.42
31-12-2014,526.4
01-01-2015,NaN
02-01-2015,524.81
03-01-2015,NaN
04-01-2015,NaN
05-01-2015,513.87
06-01-2015,501.96
07-01-2015,501.1
08-01-2015,502.68
09-01-2015,496.17
10-01-2015,NaN
11-01-2015,NaN
12-01-2015,492.55
13-01-2015,496.18
14-01-2015,500.87
15-01-2015,501.79
16-01-2015,508.08
17-01-2015,NaN
18-01-2015,NaN
19-01-2015,NaN
20-01-2015,506.9
21-01-2015,518.04
22-01-2015,534.39
23-01-2015,539.95
24-01-2015,NaN
25-01-2015,NaN
26-01-2015,535.21
27-01-2015,518.63
28-01-2015,510
29-01-2015,510.66
30-01-2015,534.52
31-01-2015,NaN
01-02-2015,NaN
02-02-2015,528.48
03-02-2015,529.24
04-02-2015,522.76
05-02-2015,527.58
06-02-2015,531
07-02-2015,NaN
08-02-2015,NaN
09-02-2015,527.83
10-02-2015,536.94
11-02-2015,535.97
12-02-2015,542.93
13-02-2015,549.01
14-02-2015,NaN
15-02-2015,NaN
16-02-2015,NaN
17-02-2015,542.84
18-02-2015,539.7
19-02-2015,542.87
20-02-2015,538.95
21-02-2015,NaN
22-02-2015,NaN
23-02-2015,531.91
24-02-2015,536.09
25-02-2015,543.87
26-02-2015,555.48
27-02-2015,558.4
28-02-2015,NaN
01-03-2015,NaN
02-03-2015,571.34
03-03-2015,573.64
04-03-2015,573.37
05-03-2015,575.33
06-03-2015,567.68
07-03-2015,NaN
08-03-2015,NaN
09-03-2015,568.85
10-03-2015,555.01
11-03-2015,551.18
12-03-2015,555.51
13-03-2015,547.32
14-03-2015,NaN
15-03-2015,NaN
16-03-2015,554.51
17-03-2015,550.84
18-03-2015,559.5
19-03-2015,557.99
20-03-2015,560.36
21-03-2015,NaN
22-03-2015,NaN
23-03-2015,558.81
24-03-2015,570.19
25-03-2015,558.78
26-03-2015,555.17
27-03-2015,548.34
28-03-2015,NaN
29-03-2015,NaN
30-03-2015,552.03
31-03-2015,548
01-04-2015,542.56
02-04-2015,535.53
03-04-2015,NaN
04-04-2015,NaN
05-04-2015,NaN
06-04-2015,536.76
07-04-2015,537.02
08-04-2015,541.61
09-04-2015,540.78
10-04-2015,540.01
11-04-2015,NaN
12-04-2015,NaN
13-04-2015,539.17
14-04-2015,530.39
15-04-2015,532.53
16-04-2015,533.8
17-04-2015,524.05
18-04-2015,NaN
