date,AAPL,MSFT
16-04-2009,17.35,19.76
17-04-2009,17.63,19.2
20-04-2009,17.21,18.61
21-04-2009,17.39,18.97
22-04-2009,17.36,18.78
23-04-2009,17.91,18.92
24-04-2009,17.7,20.91
27-04-2009,17.82,20.4
28-04-2009,17.7,19.93
29-04-2009,17.88,20.25
30-04-2009,17.98,20.26
01-05-2009,18.18,20.24
04-05-2009,18.87,20.19
05-05-2009,18.96,19.79
06-05-2009,18.93,19.79
07-05-2009,18.44,19.32
08-05-2009,18.46,19.42
11-05-2009,18.51,19.32
12-05-2009,17.77,19.89
13-05-2009,17.07,19.75
14-05-2009,17.56,20.06
15-05-2009,17.49,20.22
18-05-2009,18.09,20.6
19-05-2009,18.21,20.31
20-05-2009,17.98,20.38
21-05-2009,17.74,19.82
22-05-2009,17.5,19.75
26-05-2009,18.68,20.34
27-05-2009,19.01,20.13
28-05-2009,19.3,20.45
29-05-2009,19.4,20.89
01-06-2009,19.91,21.4
02-06-2009,19.93,21.4
03-06-2009,20.14,21.73
04-06-2009,20.53,21.83
05-06-2009,20.67,22.14
08-06-2009,20.55,22.05
09-06-2009,20.39,22.08
10-06-2009,20.04,22.55
11-06-2009,19.99,22.83
12-06-2009,19.57,23.33
15-06-2009,19.44,23.42
16-06-2009,19.48,23.45
17-06-2009,19.37,23.68
18-06-2009,19.41,23.5
19-06-2009,19.93,24.07
22-06-2009,19.62,23.28
23-06-2009,19.14,23.34
24-06-2009,19.46,23.47
25-06-2009,19.98,23.79
26-06-2009,20.35,23.35
29-06-2009,20.28,23.86
30-06-2009,20.35,23.77
01-07-2009,20.4,24.04
02-07-2009,20,23.37
06-07-2009,19.8,23.2
07-07-2009,19.34,22.53
08-07-2009,19.6,22.56
09-07-2009,19.48,22.44
10-07-2009,19.79,22.39
13-07-2009,20.33,23.23
14-07-2009,20.32,23.11
15-07-2009,20.98,24.12
16-07-2009,21.07,24.44
17-07-2009,21.68,24.29
20-07-2009,21.84,24.53
21-07-2009,21.64,24.83
22-07-2009,22.39,24.8
23-07-2009,22.55,25.56
24-07-2009,22.86,23.45
27-07-2009,22.87,23.11
28-07-2009,22.86,23.47
29-07-2009,22.86,23.8
30-07-2009,23.26,23.81
31-07-2009,23.34,23.52
03-08-2009,23.78,23.83
04-08-2009,23.65,23.77
05-08-2009,23.59,23.81
06-08-2009,23.42,23.46
07-08-2009,23.64,23.56
10-08-2009,23.53,23.42
11-08-2009,23.26,23.13
12-08-2009,23.62,23.53
13-08-2009,24.06,23.62
14-08-2009,23.83,23.69
17-08-2009,22.8,23.25
18-08-2009,23.43,23.58
19-08-2009,23.51,23.65
20-08-2009,23.76,23.67
21-08-2009,24.17,24.41
24-08-2009,24.15,24.64
25-08-2009,24.2,24.64
26-08-2009,23.92,24.55
27-08-2009,24.21,24.69
28-08-2009,24.29,24.68
31-08-2009,24.03,24.65
01-09-2009,23.61,24
02-09-2009,23.6,23.86
03-09-2009,23.79,24.11
04-09-2009,24.33,24.62
08-09-2009,24.7,24.82
09-09-2009,24.45,24.78
10-09-2009,24.65,25
11-09-2009,24.59,24.86
14-09-2009,24.82,25
15-09-2009,25.02,25.2
16-09-2009,25.98,25.2
17-09-2009,26.36,25.3
18-09-2009,26.43,25.26
21-09-2009,26.29,25.3
22-09-2009,26.35,25.77
23-09-2009,26.5,25.71
24-09-2009,26.26,25.94
25-09-2009,26.05,25.55
28-09-2009,26.59,25.83
29-09-2009,26.48,25.75
30-09-2009,26.48,25.72
01-10-2009,25.84,24.88
02-10-2009,26.41,24.96
05-10-2009,26.57,24.64
06-10-2009,27.14,25.11
07-10-2009,27.18,25.1
08-10-2009,27.04,25.67
09-10-2009,27.21,25.55
12-10-2009,27.26,25.72
13-10-2009,27.15,25.81
14-10-2009,27.33,25.96
15-10-2009,27.22,26.71
16-10-2009,26.86,26.5
19-10-2009,27.12,26.36
20-10-2009,28.39,26.37
21-10-2009,29.27,26.58
22-10-2009,29.31,26.59
23-10-2009,29.13,28.02
26-10-2009,28.93,28.68
27-10-2009,28.2,28.59
28-10-2009,27.49,28.02
29-10-2009,28.05,28.22
30-10-2009,26.93,27.73
02-11-2009,27.04,27.88
03-11-2009,26.96,27.53
04-11-2009,27.26,28.06
05-11-2009,27.72,28.47
06-11-2009,27.76,28.52
09-11-2009,28.78,28.99
10-11-2009,29,29.01
11-11-2009,29.04,29.12
12-11-2009,28.86,29.36
13-11-2009,29.21,29.63
16-11-2009,29.52,29.54
17-11-2009,29.57,30
18-11-2009,29.42,30.11
19-11-2009,28.64,29.78
20-11-2009,28.56,29.62
23-11-2009,29.41,29.94
24-11-2009,29.21,29.91
25-11-2009,29.17,29.79
27-11-2009,28.66,29.22
30-11-2009,28.56,29.41
01-12-2009,28.14,30.01
02-12-2009,28.03,29.78
03-12-2009,28.07,29.83
04-12-2009,27.62,29.98
