date,ozone,pm25,co
12-07-2000,0.031085,8.3,0.885417
13-07-2000,0.032952,13.1,0.927901
14-07-2000,0.031131,10.242105,0.878274
15-07-2000,0.028224,7.4,0.834905
16-07-2000,0.037244,13.95,0.930952
17-07-2000,0.028762,10.970588,0.979762
18-07-2000,0.038629,28.1,1.025521
19-07-2000,0.007015,10.2,1.072578
20-07-2000,0.020944,10.552632,1.073625
21-07-2000,0.038632,24.4,1.138889
22-07-2000,0.029201,15.3,1.005208
23-07-2000,0.02909,8.852632,0.855903
24-07-2000,0.020944,14.6,1.178307
25-07-2000,0.023507,9.5,0.962279
26-07-2000,0.01433,8.094737,0.96884
27-07-2000,0.006782,6.5,1.022321
28-07-2000,0.01269,11.85,1.150116
29-07-2000,0.015944,10.731579,1.049405
30-07-2000,0.014542,14,1.128274
31-07-2000,0.013522,11,0.911293
01-08-2000,0.01107,16.373684,1.026162
02-08-2000,0.032879,27.9,1.287764
03-08-2000,0.015566,22.7,1.17914
04-08-2000,0.020846,16.411111,1.339867
05-08-2000,0.027232,9.05,1.079464
06-08-2000,0.037583,22.8,1.079464
07-08-2000,0.032428,26.927778,1.116589
08-08-2000,0.035722,23.6,1.190774
09-08-2000,0.035834,27.6,1.189859
10-08-2000,0.032776,18.088235,1.148989
11-08-2000,0.031131,21.25,1.286607
12-08-2000,0.019399,10.5,0.841369
13-08-2000,0.018089,7.126316,0.658928
14-08-2000,0.009216,7.3,0.92059
15-08-2000,0.019059,9.9,1.016369
16-08-2000,0.025065,17.526316,1.009099
17-08-2000,0.017827,6.75,0.876333
18-08-2000,0.006286,14.35,1.36841
19-08-2000,0.018601,8.705263,1.085417
20-08-2000,0.017625,9.35,0.840178
21-08-2000,0.012857,5.7,0.976163
22-08-2000,0.032722,12.136842,1.11611
23-08-2000,0.024706,20.7,0.990261
24-08-2000,0.017137,37.5,1.44494
25-08-2000,0.01878,17.370588,1.231454
26-08-2000,0.033441,19.7,1.194805
27-08-2000,0.040834,30.7,0.999405
28-08-2000,0.0278,29.810526,1.198487
29-08-2000,0.016917,11.6,0.935714
30-08-2000,0.008363,14.15,1.140071
31-08-2000,0.010655,15.072222,1.247429
01-09-2000,0.007208,8.6,1.119277
02-09-2000,0.014847,17,1.063549
03-09-2000,0.017208,19.078947,1.080952
04-09-2000,0.022345,14,0.917262
05-09-2000,0.013532,3.6,0.819941
06-09-2000,0.014642,6.935294,0.914114
07-09-2000,0.017311,10.9,1.025799
08-09-2000,0.016275,12.9,0.92619
09-09-2000,0.028167,30.589474,1.370833
10-09-2000,0.032675,27.65,1.209949
11-09-2000,0.035994,31.85,0.953498
12-09-2000,0.024126,18.468421,0.894226
13-09-2000,0.018988,9.45,1.012256
14-09-2000,0.035024,12.45,1.022312
15-09-2000,0.022946,13.26875,1.053472
16-09-2000,0.012379,5,0.90754
17-09-2000,0.020786,8.2,0.781597
18-09-2000,0.012655,17.3,1.071874
19-09-2000,0.010355,19.5,1.267722
20-09-2000,0.032633,20.6,1.169643
21-09-2000,0.02225,16.705263,0.972592
22-09-2000,0.013357,7.8,0.903869
23-09-2000,0.018887,12.95,1.09793
24-09-2000,0.013232,10.889474,0.982143
25-09-2000,0.009234,5,0.802546
26-09-2000,0.005649,6.4,0.798296
27-09-2000,0.009047,12.111765,1.063988
28-09-2000,0.00957,12.45,1.045277
29-09-2000,0.008326,7.9,0.922321
30-09-2000,0.013635,10.811111,1.223157
01-10-2000,0.016119,11,1.133036
02-10-2000,0.008849,20.75,1.547294
03-10-2000,0.019054,29.363158,1.524107
04-10-2000,0.016904,22.85,1.231845
05-10-2000,0.00873,12.75,1.04494
06-10-2000,0.014486,24.531579,1.225839
07-10-2000,0.019423,6.55,0.81131
08-10-2000,0.01247,5.3,0.725298
09-10-2000,0.010232,5.7,0.671429
10-10-2000,0.007942,10,0.828869
11-10-2000,0.01497,12.75,0.947648
12-10-2000,0.011961,15.977778,1.304856
13-10-2000,0.014196,16.5,1.246726
14-10-2000,0.018262,23.75,1.340476
15-10-2000,0.032119,22.605556,1.314583
16-10-2000,0.00894,12.233333,1.021441
17-10-2000,0.009419,11,0.935842
18-10-2000,0.005899,10.478947,1.099988
19-10-2000,0.01324,12.5,0.9625
20-10-2000,0.009855,13.4,1.09256
21-10-2000,0.019536,29.826316,1.159822
22-10-2000,0.015607,6.85,0.767262
23-10-2000,0.00903,8.75,0.897024
24-10-2000,0.007577,15.177778,1.081548
25-10-2000,0.012113,28.7,1.424987
26-10-2000,0.011569,58.4,1.93223
27-10-2000,0.00699,57.976471,2.439286
28-10-2000,0.022003,14.75,1.233461
29-10-2000,0.022066,4.8,0.615476
30-10-2000,0.015434,5.46875,0.785931
31-10-2000,0.0141,6.425,0.827136
01-11-2000,0.016364,8.6,0.883828
02-11-2000,0.01503,6.8,0.916369
03-11-2000,0.006862,15.6,1.470813
04-11-2000,0.011006,18.7,1.575595
05-11-2000,0.014726,5.764706,0.747917
06-11-2000,0.008618,6.6,0.962899
07-11-2000,0.004253,10.4,1.119363
08-11-2000,0.0026,19.544444,1.560065
09-11-2000,0.004701,26.95,2.063908
10-11-2000,0.00599,7.55,1.076559
